Reivew ID,Author Name,Picture Link,Profile Link,Content,Localized Content,Rating,Review Highlights,Date,Language
9.00539E+17,Nick,https://a0.muscache.com/im/pictures/user/3212ff3c-fcba-4821-b71b-acd824a40212.jpg,https://www.airbnb.com.ua/users/show/64857043,"Clean place, very small tho. Check-in instructions unclear (it was hard to find the key) No way to call your host, unreachable by phone, had to call AirBnb support because of that",,3,Stayed a few nights,2023-05-27 15:09,EN
4.64888E+17,Tatyana,https://a0.muscache.com/im/pictures/user/f4cb1582-c7d1-498a-90cc-b433a0cd7e67.jpg,https://www.airbnb.com.ua/users/show/335510571,"Квартира хорошая, все новое, посторонних запахов нет.<br/>Было в принципе чисто. единственное, очень грязный чайник, весь в накипи, воду в нем греть невозможно. вся накипь в чашке, грели воду на плите. в пульте от телевизора нерабочие батарейки. и было бы здорово оставлять гостям одноразовые тапочки. <br/>и пружинистый очень мягкий  матрас, учитывайте, если есть проблемы со спиной.<br/>в остальном все хорошо, местоположение отлично, до центра 20 минут прогулочным шагом. полно магазинов, кафе, аптека в округе","The apartment is good, everything is new, there are no foreign smells.<br/>It was basically clean. The only, very dirty kettle, all in scale, it is impossible to heat the water in it. All the scale in the cup, heated the water on the stove. In the remote from the TV there are non-working batteries. and it would be great to leave disposable slippers for guests. <br/>and a springy very soft  mattress, keep in mind if there is problem with the back.<br/>otherwise everything is fine, the location is great, it's a 20-minute walk to the center. full of shops, cafes, pharmacy in the area",3,Stayed a few nights,2021-10-03 13:10,RU
444724306,Alisa,https://a0.muscache.com/im/users/29460329/profile_pic/1442355045/original.jpg,https://www.airbnb.com.ua/users/show/29460329,"Очень чистая, красивая и комфортная квартира, есть все необходимое.","Very clean, beautiful and comfortable apartment, there is everything you need.",3,Stayed a few nights,2019-04-28 16:51,RU
1.16434E+18,Mariia,https://a0.muscache.com/im/pictures/user/User-515624548/original/875d589a-8e8d-4ff5-8ee7-7423e575b058.jpeg,https://www.airbnb.com.ua/users/show/515624548,"З плюсів для мене, це дві теплі ковдри) З мінусів - праска, лишила слід на речі, потрібно замінити або почистити спеціальним віском!<br/>Також в помешканні бракує сухих рушників, це було б значним плюсом, так як не всі можуть витирати обличчя/руки звичайними.","Of the pros for me, these are two warm blankets) Of the cons - an iron, left it on things, you need to replace or clean with special wax!<br/>There is also a lack of dry towels in the unit, this would be a significant plus as not everyone can wipe their faces/hands with regular ones.",4,Stayed a few nights,2024-05-25 14:37,UK
1.06358E+18,Євген,https://a0.muscache.com/im/pictures/user/121e1dc6-8ba8-4b49-8bd9-d91553baf1dd.jpg,https://www.airbnb.com.ua/users/show/126557585,Чиста і свіжа квартира на 1 поверсі (ймовірно переведена з нежитлового фонду). Але для короткого перепочинку цілком підходить. Єдине питання - ціна на свята була не ринковою.,"Clean and fresh apartment on the 1st floor (probably transferred from a non-residential fund). But for a short rest, it's quite suitable. The only question is that the price of the holidays was not marketable.",4,Stayed about a week,2024-01-07 13:04,UK
1.02959E+18,Лія,https://a0.muscache.com/im/Portrait/Avatars/messaging/b3e03835-ade9-4eb7-a0bb-2466ab9a534d.jpg?im_t=Л&im_w=240&im_f=helvetica-neue-medium.ttf&im_c=ffffff,https://www.airbnb.com.ua/users/show/534980952,"Якщо ви будете проживати в цьому приміщенні, майте на увазі, що оселя досить затишна, але дуже маленька. Розміщується на першому поверсі, має тонкі стіни, через що чути кожного, хто проходить в загальному коридорі. Місць для паркування машини немає, як і майже в кожній новобудові. Поруч є Сільпо, що досить зручно.","If you will be staying in this space, keep in mind that the place is quite cozy but very small. Located on the first floor, has thin walls, through what to hear for everyone who passes in the common hallway. There is no parking space, just like almost every new building. There is Silpo nearby, which is quite convenient.",4,Stayed a few nights,2023-11-21 15:33,UK
9.92605E+17,Вікторія,https://a0.muscache.com/im/pictures/user/User/original/14f68263-a1fa-431d-891c-652d90436cbb.jpeg,https://www.airbnb.com.ua/users/show/518572470,"Загалом все добре , чисто та охайно . Дуже дякую  )","Overall everything is good , clean and tidy . Thank you very much  )",4,Stayed a few nights,2023-10-01 15:49,UK
9.90348E+17,Alexey,https://a0.muscache.com/im/pictures/user/User-173655750/original/350faeb0-481c-4d1e-bbe3-653d8a91e4ee.jpeg,https://www.airbnb.com.ua/users/show/173655750,Хорошая смарт-квартира.<br/>Добавить бы бокалов для вина и было бы вообще замечательно),Nice smart apartment.<br/>Would add wine glasses and would be generally wonderful),4,Stayed a few nights,2023-09-28 13:04,RU
8.64351E+17,Yuliana,https://a0.muscache.com/im/pictures/user/e9ca171f-c00b-4d7b-9b54-4cc1e4e06201.jpg,https://www.airbnb.com.ua/users/show/236525637,"Cozy nice apartment for a single stay, the sound insulation is a bit poor, but nevertheless it was a pleasant stay",,4,Stayed a few nights,2023-04-07 16:51,EN
5.3672E+17,Anastasia,https://a0.muscache.com/im/pictures/user/e615733b-8875-48d4-a526-6b973eb6fd04.jpg,https://www.airbnb.com.ua/users/show/260010818,"Загалом перебування в квартирі було нормальним, квартира чиста, тепла, але було кілька моментів, які трохи зіпсували враження. При вході в квартиру лежали чиїсь старі гумові тапки (напевно покоївки). На кухні в тумбочці на одній поличці лежали кухонні прибори, а нижче корзина з побутовою хімією. Фен дууже слабенький, для того, щоб висушити каре, мені знадобилось 20-25 хв. Ну і бойлер занадто маленький (про це написано в оголошенні, але все ж). 3-4 хвилини для того, щоб помитись і вимити волосся, не вистачає. Ще душова кабіна внизу протікає","Overall, the stay in the apartment was normal, the apartment was clean, warm, but there were a few moments that spoiled the experience a little. At the entrance to the apartment there were someone's old rubber slippers (probably a maid). There were kitchen appliances in the kitchen in the nightstand on one shelf and a basket of household chemicals below. The hair dryer is weak, it took me 20-25 minutes to dry the carriage. Well, the boiler is too small (it's written about it in the listing, but still). 3-4 minutes to wash and wash your hair is not enough. Another shower cubicle downstairs is leaking",4,Stayed a few nights,2022-01-10 14:46,UK
749379625,Valerie,https://a0.muscache.com/im/pictures/user/e9ddda5c-32e6-40d5-b62b-708ff73b87b0.jpg,https://www.airbnb.com.ua/users/show/257036183,"Дуже сподобалось перебування в квартирі, всі дрібниці, які можуть знадобитись, були продумані, помешкання дуже затишне і доволі стильне. Приємна комунікація з власниками. Єдине зауваження - трохи продавлений матрас. Решта - ідеально!","I really enjoyed my stay in the apartment, all the little things you might need were thoughtful, the place is very cozy and quite stylish. Pleasant communication with the owners. The only thing to note is the slightly squeezed mattress. The rest is perfect!",4,Stayed a few nights,2021-04-17 16:39,UK
723243696,Александр,https://a0.muscache.com/im/pictures/user/f527d90b-9158-41b8-ad27-b9ddb3734357.jpg,https://www.airbnb.com.ua/users/show/332362587,"Плюсы:<br/>1. Месторасположение жилья хорошее. До центра пешком 15 минут. Есть хорошая и удобная парковка. <br/>2. Рядом Сильпо, заведения, аптека и остановка общественного транспорта (автобус + трамвай).<br/>Минусы:<br/>1. В описании квартиры не указано, что она находится на 1 этаже сразу возле входной двери в подъезд.<br/>2. Большие щели во входной двери и как следствие очень хорошая слышимость всего происходящего в подъезде.<br/>3. Цена квартиры не совсем соответсвует ее размерам и классу. За такие деньги можно найти варианты больше и ближе к центру.","Pros<br/>1. The location of the place is good. The center is a 15-minute walk away. There is a good and comfortable parking. <br/>2. Near Silpo, places, pharmacy and public transport stop (bus + tram).<br/>Cons<br/>1. The description of the apartment does not indicate that it is on the 1st floor right next to the entrance door to the entrance.<br/>2. Large cracks in the front door and as a result, very good audibility of everything that is happening in the entrance.<br/>3. The price of the apartment does not quite match its size and class. For this money, you can find more options and closer to the center.",4,Stayed a few nights,2021-01-10 15:26,RU
