автор,нація,рахунок,назва,Позитивні відгуки,Негативні відгуки,Дата коментаря,Тип кімнати,Дата заїзду,Дата виїзду
"Daria","Ukraine","8","A great option for vocation and short-term stay","Good location  nice interior of the apartment","Audibility between rooms  no washing machine","2025-04-21","Superior Double Room","2025-03-23","2025-03-25"
"Kseniya","Ukraine","10","","Contactless check-in & check-out  pets-friendly  perfect location  bar and restaurants close to the apartment  comfortable planning","No elevator  difficulties with parking in the city center (more but advantages of staying in the center)","2025-04-06","Comfort Quadruple Room","2025-03-21","2025-03-23"
"Andrii","Ukraine","9","","Very small  but good","","2023-04-08","Superior Double Room","2023-02-22","2023-02-24"
"Dovbetska","Ukraine","9","","Location  easy check-in and check-out  cute modern room","Smelly towels","2025-03-02","Superior Double Room","2025-02-27","2025-03-01"
"9ka","Ukraine","10","Perfect location!!!","The location is perfect. Right in the middle of the old town  just a block away from the Market Square. There are so many restaurants  shops and architectural landmarks nearby!   Also  the room was really stylish!","Not enough toilet paper  considering it's quality. Also    a couple of trash bags would come in handy.","2024-07-18","Small Double Room","2024-07-12","2024-07-15"
"Юлия","Ukraine","9","We enjoyed our stay a lot. The apartment is small but clean and comfy. The location is great.","The location is great  just in the heart of the old city.","A bit too loud at night because of the neighboring restaurants.","2023-05-17","Superior Double Room","2023-05-13","2023-05-16"
"Ibrahim-radmil","Ukraine","1","Omg !!! AWFUL THEY RUINED MY BIRTHDAY!","Nothing","Everything  the owner is a sick lady that screams 24/7   and always wants to put her nose in your business  awful facilities  don’t know what happened because before it was great and now it awful !!!!","2024-10-07","Comfort Quadruple Room","2024-09-17","2024-09-21"
"Анна","Ukraine","10","Все сподобалось  рекомендую","Дуже зручне розташування. Все чисто і пролумано до дрібниць","Слабувата звукоізоляція","2025-04-22","Deluxe Studio","2025-03-14","2025-03-16"
"Victoriya","Ukraine","10","","Надзвичайно гарне місце розташування  чисто та комфортно. В номері є все необхідне.","","2025-04-15","Comfort Triple Room","2025-04-11","2025-04-13"
"Анна","Ukraine","10","","Дуже сподобалися апартаменти!  Зручне розташування   легко знайти помешкання і комфортно гуляти центром міста! Поряд є кілька варіантів парковок (платних)  машину лишити не проблема і недалеко нести речі. Загалом у Львові буваємо часто  але це помешкання одне з кращих  яке траплялось! З радістю повернемось родиною саме в цю квартиру!","","2025-04-11","Comfort Quadruple Room","2025-04-09","2025-04-11"
